"PC1","PC2","PC3","PC4","PC5","PC6","PC7","Class"
-2.38538686690808,-0.592820401880621,-1.87419322632057,-0.203906539929992,-0.777900610017249,-0.913646828092792,-3.15144858766857,"N"
-0.423450295451008,-0.407382270077297,-0.704674030495449,-0.121436385532373,1.39106644380966,2.937498945447,3.16495174156824,"N"
-1.52578344135325,0.105730136501998,0.81632669148453,0.238074304273349,-0.396395128074693,-0.736182018386214,-0.583514604832848,"N"
-1.7329318762711,0.144131109970644,0.866725894252608,2.17435875288518,0.484292250857826,-0.0324622406591872,0.344709145183581,"N"
-2.20716594738065,-0.382970156524257,-0.424726802988409,-0.626200126774342,-1.00317257303952,1.69665059090377,0.78529102727325,"N"
-0.609238402667072,3.15454943503689,1.54822739753666,-1.45355922691858,-0.156797360558311,-0.44637770434766,-0.906372314229923,"N"
-1.47403856324112,-0.251025503551528,-1.07776853645189,0.518034246546763,-0.0928832399508623,1.35578768365601,0.108145330881768,"N"
-0.727196681756165,-0.441852376257485,-0.262672602618279,0.519134932536637,0.963889094834532,1.26939424753794,0.924079971279751,"N"
-1.5537286125741,-0.33203343373207,0.187891471988561,-0.944314699293462,0.919130056647233,0.270987689687837,-0.262015447090827,"N"
-0.745130528790158,-0.628542066321927,-1.92322583210278,-0.0313466238019851,1.73119684420667,0.2859732542477,-0.543471198536083,"N"
-1.17465969030331,-0.679014933694724,-0.49298409783287,-0.403957898221335,-2.15807473522848,0.906118773860207,-0.501271925163402,"N"
-3.07798044285318,-0.469784885215747,1.25368805068458,-2.20057502473589,-1.31845623179674,-0.0520987298532886,0.745210460144884,"N"
0.322716106451682,1.07139040745744,2.39398753215931,-0.462234953134051,-0.422377490599802,1.06218007566165,-2.25913310386194,"N"
5.65936770365833,-1.06705332519955,1.97341324938188,-0.319236210260802,0.449223117184911,-1.13281131803702,0.91236759989835,"N"
3.12899949001197,2.00083042134565,-0.89035025121456,0.0899123961999098,-1.20727921869526,-0.735941076461065,1.91629872600369,"N"
-2.4552296330661,-0.616136995805544,-0.855258850238656,-1.17173430800037,-0.172803390114533,0.831548590619407,0.190296092984739,"N"
-2.28165204139698,1.65285135268822,-0.812701294601853,-1.11415719371971,-0.139382821988758,1.49002452424583,-0.301045503868801,"N"
-0.0567080611063576,-0.607617645709116,1.41662534516856,-1.04292004859265,0.172854630390476,1.50161265943321,1.19027742819441,"N"
-1.72170978107445,2.13801738043166,-1.22439803305681,0.304030543181744,0.49760696253426,2.49191373935863,1.95811079295829,"N"
2.97539119719064,-1.37656672306167,0.0277260829559403,4.18462924524403,-1.90689172113528,0.656762060785732,-1.09749484871324,"N"
0.368777206597376,-1.28639039400138,-2.23142992188376,0.534532491612349,-0.549341730912009,0.0225149268232655,-0.223299647130262,"N"
2.74252931414297,-1.4048236601062,-0.737737293050509,-0.205052332189603,-0.181575997271943,-1.6662902896686,1.70471705144271,"N"
-2.320313039026,0.446375648652671,3.40240404780947,7.28015015978873,1.38028328247842,-1.896321747843,-1.2075194284548,"N"
0.0630534076821573,0.06655599275393,-0.0730558329472765,-1.7162819053437,7.63293627249121,0.175171829765545,3.65113895192329,"N"
1.03473788127605,-1.23352071673493,-1.80578404470452,1.34569372730447,-0.537357927761066,1.97116749577203,-1.40929006158168,"N"
-1.22276987334042,-0.253663673987203,2.06115109419169,-0.825100893264094,1.65135512966265,1.17930185393454,-0.119105900053926,"N"
-2.82682757421996,-0.430608763824581,-1.63433089053072,0.066321794193557,0.407958159576452,1.26094221298903,0.621772752021667,"N"
2.58370073723497,-1.35538900597663,-2.42319597395024,1.51918126153481,-2.99818215955276,1.30235724798889,-0.617053847279103,"N"
-2.31452850770217,-0.453625031688077,-1.12337700213455,0.149234129705405,0.555951946315772,-0.612281191698074,-0.381205725894999,"N"
2.23328923340373,-1.81031076979792,-2.72623385289383,-0.157398926057047,-1.72436997171283,-1.44590825227128,0.854342968650238,"N"
-0.420096848688795,0.823858047337929,-1.76122651401595,-0.452128912612024,-0.04793779465469,-0.479338260981127,0.266412839177013,"N"
0.699675219002915,-0.622165220421241,-0.764318656481589,3.0785638630516,2.05843941633012,0.242082141333457,1.66680399771146,"N"
-2.56368865011786,-0.465847061102202,-0.935524923187111,-0.915549838698942,-1.07888953103809,1.29903688081538,-0.11329580023281,"N"
1.03577267201389,-0.352886484633937,1.28473779073507,-0.480488756478691,-0.454323437960579,3.27556178166945,1.24718952614246,"N"
-0.325290983538287,1.7160616656424,-0.790418121505469,-0.0843466100494971,1.37555172283339,0.583597699943065,-1.11249700858786,"N"
-3.37179871312191,0.0684523312834457,-0.142203828041932,0.846198352431278,-0.762335799597423,1.08977764687326,1.95755895337278,"N"
-2.1238900003779,-0.487088921497039,-0.978359377427906,-0.522098579068912,-0.929989928928026,1.79546370863141,0.797452513578427,"N"
-1.14724613081247,-1.0454879759213,-3.52989534880126,1.02201163588565,0.644664587909114,-2.22577287986107,-1.39748709073245,"N"
-0.828103232783588,-0.3319614360818,3.92214523389748,0.620393691961989,-2.61423081161315,-2.17732702731409,1.18714892538827,"N"
-2.31596767074408,-0.157870808296727,-0.429291982418992,0.651234277379681,0.214570742746407,-0.132950071326018,0.358727132108184,"N"
-1.64643651162055,0.330383588733556,-0.787144699872645,-2.25278621777792,-0.935705436344434,-0.610294936088267,-1.31533367342663,"N"
-0.364610108797133,-1.03911525972268,-1.70161055875113,1.83015593598737,-1.47558455980473,0.441128362489931,1.99175855377094,"N"
3.0338001912801,-0.0844980780066013,0.401307521695133,-0.680651254908226,0.191031723183229,-0.313416206062923,-1.8987389664474,"N"
-2.6959763673724,-0.243274367327939,0.15750536686522,-0.559463409447676,-0.945627149488274,0.827775067502897,0.638007819017182,"N"
-2.27884244750549,-0.699921587145004,-1.92955994369197,-0.367074186196785,-0.511744755405882,-0.217859081933221,-1.32966383096128,"N"
-3.57112797294992,0.155779474587241,0.255961610679728,0.360534132447585,-0.12703706541908,-2.07892307942651,-0.81069488641974,"N"
-1.30768585592403,-0.809568593890575,-2.02920793573859,1.57603252784217,1.03486146976603,1.63356010774224,0.872958020395556,"N"
-0.739906668587891,-0.832022937645782,-1.50068922086639,0.618957933559888,-1.49432520450058,0.199490066607587,-0.5081685446408,"N"
1.64158881856334,-0.395854988304459,0.265970996861541,-1.35922728347699,1.72796108823163,-0.623680940791076,-0.479236219448928,"N"
-1.8964772379826,-0.448068375722521,-0.0435337775145063,0.927198406269417,0.414788949285835,-0.416019212999725,-1.31508225813117,"N"
-1.80408831762554,-0.604813709104745,-2.15081752613676,0.512336829582891,1.23318682083711,0.310909289140037,0.689574078729579,"N"
0.56849590941537,-0.530670120384388,-1.67594482906815,0.357107804851616,0.735705620997907,-0.0488447636474535,-0.736841198137499,"N"
-2.94072911883533,0.0795629112014246,0.674030938007856,-0.0471741297715229,-1.20720493250954,0.859943104379739,0.0974738335605092,"N"
0.905386387322688,-1.04647489435421,-1.22644596117026,0.222965380652437,0.56412389532413,-0.116451269647368,-1.7037469256754,"N"
-2.64238222483491,-0.831572228636978,-0.435532147332335,-0.884961549125014,-1.91359523750958,-3.07941964654673,0.893825000285314,"N"
1.04939399126408,-1.44823234978241,-2.32154439469108,1.8497049161373,-3.03627544101101,0.163832245452978,2.02370193944482,"N"
3.17819071949463,-1.46571642381663,-1.21232490210355,-0.679753902033685,0.832086824795372,0.150044855449877,0.49814796750241,"N"
-1.80810397040342,-0.496471115104952,0.147930672194855,-1.67093390096903,-0.153085340430658,-3.06903713410926,2.14819979964279,"N"
3.27325659776488,-0.754032800050468,2.71297164470763,-0.610575595437704,-1.49927426421367,1.28244932469351,0.104120901861659,"N"
2.36661077749974,-1.57662684606263,-2.37157231290333,0.399109933209039,-0.431254122739953,0.263884346483455,-1.40131972386803,"N"
-2.65968763816045,-0.0205157778086524,0.0968190264271795,-0.471825318533202,-0.472574712092141,0.327920832318724,-0.879306798181541,"N"
-1.92241000688096,-0.654252818911441,-0.831392366410054,-1.11293507361683,-0.802351485431956,-0.184243863974108,-0.157938492483415,"N"
2.88175606398206,-2.0189635526494,-1.13802868728658,-1.06150614592147,-2.35408150448882,0.54952226770049,1.95585179055563,"N"
-1.41616589584471,-0.924701356083109,-0.410455090470803,-0.79848048880284,-1.07405659114218,-1.51192459761718,0.346839266101624,"N"
0.562490388115403,-0.309618888255595,3.38333795140903,2.84950052998795,-6.22462775604794,1.60823754626508,-3.99323775250651,"N"
3.70504522892399,-0.23352311741826,3.10636015225434,0.226064674889277,-0.519428030004883,-0.0534914187620107,-1.91718454491508,"N"
0.0955599830808465,-0.514169430821315,-0.853876047389673,0.543547631712527,-0.526670082022446,0.274073057777017,-1.38224102768276,"N"
0.0471026662283141,0.0120452298279644,3.19722978314587,2.62770716937387,1.34176985361259,-1.97465400626205,-1.66324376067855,"N"
-3.60460979486714,-0.17703117031589,-0.144040689288097,-1.01179357735175,-0.852606294550795,0.860051513364671,0.413736919326036,"N"
-3.16119464957991,0.0884068226371689,1.02001955317667,-0.00859775740558005,-0.914237649244493,-2.07409999641818,-0.334015731596664,"N"
-1.47676881015043,-0.624645533183262,-2.11030887274198,1.55023228845326,0.924375653907073,-0.0320192847777623,-0.834365868089267,"N"
4.4610878825092,-0.994946342798614,-0.0839237430802896,-0.215125599119574,3.15732915706622,-1.74755629805918,3.00196410188285,"N"
-0.529278798956786,-1.13621047419786,-2.86990668224106,0.764834737516888,-0.8709854343827,0.591423972691932,0.510669238184933,"N"
-0.595381147471365,-0.512665941466732,-1.3509624408784,0.143931170793416,0.358657348292618,0.664889013120366,-0.954093557226241,"N"
-1.2362475465012,-0.273773938655282,-0.37795957027985,0.685690503952786,-0.0126818226206007,1.19226424707762,0.365834523598188,"N"
-1.57975101334057,0.199748781039248,1.57257732262982,-0.236734187474932,-1.77924988497325,0.646620752940183,-0.788148483001531,"N"
-1.11726423205572,0.157227128975156,2.35091667944639,-0.602935678984141,0.883710714909074,0.964812269339903,-0.723429884076389,"N"
-0.0436622917237934,-0.904720388803507,-1.55982848490852,0.154842020418895,-1.89672871722822,-0.648686785922211,-0.840040600604685,"N"
-2.16781564027359,0.169666299864557,1.27776735297223,-0.972211174706082,-0.521299514745147,-0.985148072548312,-1.35606991685406,"N"
1.43264703828158,0.200850797083377,0.0553252924122158,0.234870197176255,-1.33076029637943,2.60935839545482,0.945659763949161,"N"
0.257738532228161,-0.910501813214955,-1.84326907873788,2.08802291699264,-1.53870238705965,0.124584401415765,-0.935309683009586,"N"
-1.18902845355741,1.54236026590594,3.783909144751,0.558930312074435,-0.00587527674032182,1.17241243471861,1.59597424799651,"N"
-3.03798042438706,0.26066251657177,1.66191960705241,-0.456230211826156,0.788035918283057,-0.0301524636083549,-1.30312627289768,"N"
